HOST,ISOLATE_CODE,ISOLATE,BLOCK,TRIAL,AUSPC,TUBER_YIELD_g,TUBER_COUNT,STEM_INFECTION
1,3,1-3.1,4,1,1992.5,0,0,0.6
1,4,2-1.1,4,1,1850,0,0,0.69
1,5,2-2.1,4,1,2162.5,0,0,0.27
1,6,2-3.1,4,1,542.5,0,0,0
1,7,3-1.1,4,1,1090,12.2,1,0
1,8,3-2.1,4,1,770,0,0,0
1,9,3-3.1,4,1,2210,5.6,1,0.44
1,10,1-1.2,4,1,740,19,2,0
1,11,1-2.2,4,1,1790,0,0,1
1,12,1-3.2,4,1,1485,0,0,0.79
1,13,2-1.2,4,1,1405,0,0,0.69
1,14,2-2.2,4,1,1735,0,0,0
1,15,2-3.2,4,1,990,0,0,0
1,16,3-1.2,4,1,357.5,35.5,3,0
1,17,3-2.2,4,1,625,0,0,0
1,18,3-3.2,4,1,2005,0,0,0
1,19,1-1.3,4,1,657.5,13.9,2,0
1,20,1-2.3,4,1,1570,0,0,0
1,21,1-3.3,4,1,.,0,0,0
1,22,2-1.3,4,1,1635,0,0,0
1,23,2-2.3,4,1,1100,0,0,0
1,24,2-3.3,4,1,1210,9.9,1,0
1,25,3-1.3,4,1,620,0,0,0
1,26,3-2.3,4,1,540,6.9,1,0
1,27,3-3.3,4,1,2195,0,0,0
1,28,1-1.4,4,1,885,6.2,1,0
1,29,1-2.4,4,1,1665,0,0,0
1,30,1-3.4,4,1,1955,0,0,0
1,31,2-1.4,4,1,2117.5,0,0,0
1,32,2-2.4,4,1,1720,0,0,0
1,33,2-3.4,4,1,1140,8.9,1,0
1,34,3-1.4,4,1,1290,9.1,1,0
1,35,3-2.4,4,1,1190,12.1,2,0
1,36,3-3.4,4,1,2100,0,0,0
1,37,H20,4,1,1290,29.6,3,0
1,1,1-1.1,5,1,365,0,0,0
1,2,1-2.1,5,1,290,5.6,1,0
1,3,1-3.1,5,1,2080,0,0,0
1,4,2-1.1,5,1,1765,0,0,0
1,5,2-2.1,5,1,2050,0,0,0
1,6,2-3.1,5,1,657.5,0,0,0
