TRIAL,HOST,ISOLATE,BLOCK,YEILD_g,TUBER_NO.,AUSPC
2,BARLEY,2,2,21.3,.,0
2,BARLEY,3,2,24.5,.,0
2,BARLEY,4,2,20.5,.,0
2,MUSTARD,1,2,7.9,.,0
2,MUSTARD,2,2,8.9,.,0
2,MUSTARD,3,2,5.2,.,0
2,MUSTARD,4,2,10.7,.,0
2,POTATO,1,3,11.9,1,3010
2,POTATO,2,3,51.1,4,2835
2,POTATO,3,3,28.7,1,2607.5
2,POTATO,4,3,53,1,2555
2,BARLEY,1,3,12.2,.,0
2,BARLEY,2,3,26.5,.,0
2,BARLEY,3,3,20.7,.,0
2,BARLEY,4,3,16.4,.,0
2,MUSTARD,1,3,8,.,0
2,MUSTARD,2,3,8.4,.,0
2,MUSTARD,3,3,4.8,.,0
2,MUSTARD,4,3,5.6,.,0
2,POTATO,1,4,26.7,4,2292.5
2,POTATO,2,4,38.9,2,2240
2,POTATO,3,4,28,2,1855
2,POTATO,4,4,60.2,2,2292.5
2,BARLEY,1,4,15.8,.,0
2,BARLEY,2,4,24.1,.,0
2,BARLEY,3,4,19.6,.,0
2,BARLEY,4,4,29.4,.,0
2,MUSTARD,1,4,7.8,.,0
2,MUSTARD,2,4,13.7,.,0
2,MUSTARD,3,4,4.6,.,0
2,MUSTARD,4,4,6.8,.,0
2,POTATO,1,5,35.9,5,3640
2,POTATO,2,5,49.5,3,2590
2,POTATO,3,5,78.8,4,1995
2,POTATO,4,5,42.4,3,2065
2,BARLEY,1,5,23.4,.,0
2,BARLEY,2,5,.,.,0
2,BARLEY,3,5,13.6,.,0
2,BARLEY,4,5,14.2,.,0
2,MUSTARD,1,5,8.4,.,0
2,MUSTARD,2,5,13.7,.,0
2,MUSTARD,3,5,5.1,.,0
2,MUSTARD,4,5,6.1,.,0
2,POTATO,1,6,29.3,2,3045
2,POTATO,2,6,29.6,2,2502.5
2,POTATO,3,6,25.9,1,2187.5
2,POTATO,4,6,49,4,2765
2,BARLEY,1,6,17.1,.,0
2,BARLEY,2,6,19.9,.,0
2,BARLEY,3,6,23.6,.,0
2,BARLEY,4,6,32.6,.,0
2,MUSTARD,1,6,8.1,.,0
2,MUSTARD,2,6,7.6,.,0
2,MUSTARD,3,6,5.6,.,0
2,MUSTARD,4,6,7,.,0
2,POTATO,1,7,8.4,1,1995
2,POTATO,2,7,30,3,2082.5
2,POTATO,3,7,59.8,3,3010
2,POTATO,4,7,53.1,6,2730
2,BARLEY,1,7,17.5,.,0
2,BARLEY,2,7,25.2,.,0
2,BARLEY,3,7,27.6,.,0
2,BARLEY,4,7,14.1,.,0
2,MUSTARD,1,7,8.2,.,0
2,MUSTARD,2,7,7.7,.,0
2,MUSTARD,3,7,6.2,.,0
2,MUSTARD,4,7,7.5,.,0
2,POTATO,1,8,43.5,4,2765
2,POTATO,2,8,.,.,.
2,POTATO,3,8,36.3,2,1785
2,POTATO,4,8,.,.,.
2,BARLEY,1,8,.,.,0
2,BARLEY,2,8,26.7,.,0
2,BARLEY,3,8,31.6,.,0
2,BARLEY,4,8,27,.,0
2,MUSTARD,1,8,11.4,.,0
2,MUSTARD,2,8,7.2,.,0
2,MUSTARD,3,8,5.2,.,0
2,MUSTARD,4,8,4,.,0
2,POTATO,1,9,22.6,1,2082.5
2,POTATO,2,9,3.3,1,1470
2,POTATO,3,9,14.6,1,1085
2,POTATO,4,9,34.7,4,2065
2,BARLEY,1,9,15.5,.,0
2,BARLEY,2,9,22.3,.,0
2,BARLEY,3,9,24.6,.,0
2,BARLEY,4,9,25.7,.,0
2,MUSTARD,1,9,7.9,.,0
2,MUSTARD,2,9,11.9,.,0
2,MUSTARD,3,9,6.5,.,0
2,MUSTARD,4,9,7.9,.,0
2,POTATO,1,10,33,1,2765
2,POTATO,2,10,21.3,2,3010
2,POTATO,3,10,36.8,2,2380
2,POTATO,4,10,35.8,2,2030
2,BARLEY,1,10,18.7,.,0
2,BARLEY,2,10,19.9,.,0
2,BARLEY,3,10,13.7,.,0
2,BARLEY,4,10,18.7,.,0
2,MUSTARD,1,10,4.5,.,0
2,MUSTARD,2,10,7,.,0
2,MUSTARD,3,10,6.3,.,0
2,MUSTARD,4,10,6.1,.,0
